Tick,Healthy,Sick,Recovered
1185,157,747,596
1186,155,749,596
1187,154,748,598
1188,154,747,599
1189,154,747,599
1190,154,746,600
1191,153,746,601
1192,153,744,603
1193,153,742,605
1194,153,737,610
1195,153,737,610
1196,151,739,610
1197,150,739,611
1198,147,738,615
1199,146,736,618
1200,146,733,621
1201,145,731,624
1202,143,732,625
1203,143,730,627
1204,142,729,629
1205,141,730,629
1206,140,729,631
1207,139,729,632
1208,138,728,634
1209,138,728,634
1210,138,728,634
1211,137,728,635
1212,137,725,638
1213,136,723,641
1214,135,723,642
1215,133,723,644
1216,130,725,645
1217,128,727,645
1218,127,726,647
1219,127,726,647
1220,126,726,648
1221,124,727,649
1222,123,724,653
1223,121,726,653
1224,118,726,656
1225,114,727,659
1226,114,727,659
1227,111,725,664
1228,111,725,664
1229,111,721,668
1230,108,723,669
1231,107,723,670
1232,104,725,671
1233,104,722,674
1234,104,719,677
1235,104,716,680
1236,103,717,680
1237,100,719,681
1238,100,719,681
1239,100,719,681
1240,100,715,685
1241,100,715,685
1242,99,716,685
1243,99,714,687
1244,98,714,688
1245,97,712,691
1246,95,712,693
1247,93,713,694
1248,91,715,694
1249,90,714,696
1250,88,714,698
1251,88,713,699
1252,87,713,700
1253,86,712,702
1254,86,709,705
1255,85,709,706
1256,85,707,708
1257,85,706,709
1258,84,705,711
1259,84,704,712
1260,83,703,714
1261,81,702,717
1262,81,702,717
1263,80,703,717
1264,79,702,719
1265,79,700,721
1266,79,697,724
1267,78,697,725
1268,77,695,728
1269,76,695,729
1270,76,693,731
1271,76,691,733
1272,76,690,734
1273,76,685,739
1274,76,682,742
1275,74,682,744
1276,73,681,746
1277,72,681,747
1278,72,677,751
1279,72,675,753
1280,71,675,754
1281,71,671,758
1282,71,667,762
1283,71,663,766
1284,71,660,769
1285,71,660,769
1286,71,659,770
1287,70,657,773
1288,70,655,775
1289,70,654,776
1290,70,653,777
1291,70,649,781
1292,70,649,781
1293,69,650,781
1294,68,649,783
1295,67,647,786
1296,67,643,790
1297,67,641,792
1298,66,639,795
1299,65,637,798
1300,65,635,800
1301,65,632,803
1302,64,631,805
1303,64,627,809
1304,64,624,812
1305,63,621,816
1306,62,619,819
1307,62,619,819
1308,62,615,823
1309,61,615,824
1310,61,615,824
1311,61,613,826
1312,60,613,827
1313,60,611,829
1314,60,609,831
1315,59,608,833
1316,59,606,835
1317,58,601,841
1318,58,600,842
1319,58,599,843
1320,58,597,845
1321,56,599,845
1322,56,598,846
1323,56,596,848
1324,56,595,849
1325,56,593,851
1326,56,592,852
1327,55,591,854
1328,55,589,856
1329,55,588,857
1330,55,586,859
1331,54,587,859
1332,54,587,859
1333,54,586,860
1334,54,584,862
1335,54,582,864
1336,54,582,864
1337,54,581,865
1338,54,581,865
1339,54,580,866
1340,54,580,866
1341,54,579,867
1342,54,578,868
1343,52,577,871
1344,51,578,871
1345,51,574,875
1346,50,573,877
1347,50,573,877
1348,50,571,879
1349,50,569,881
1350,50,566,884
1351,49,564,887
1352,48,561,891
1353,48,560,892
1354,47,559,894
1355,46,556,898
1356,46,556,898
1357,46,554,900
1358,46,553,901
1359,46,545,909
1360,45,543,912
1361,45,543,912
1362,45,540,915
1363,44,540,916
1364,44,540,916
1365,43,538,919
1366,43,538,919
1367,43,537,920
1368,43,536,921
1369,42,537,921
1370,41,537,922
1371,41,536,923
1372,41,536,923
1373,40,534,926
1374,39,532,929
1375,39,527,934
1376,39,524,937
1377,39,523,938
1378,38,523,939
1379,38,521,941
1380,38,519,943
1381,38,518,944
1382,38,517,945
1383,36,519,945
1384,36,518,946
1385,36,518,946
1386,36,517,947
1387,36,516,948
1388,35,514,951
1389,35,514,951
1390,35,514,951
1391,35,513,952
1392,35,513,952
1393,34,513,953
1394,33,511,956
1395,32,511,957
1396,31,507,962
1397,31,505,964
1398,31,504,965
1399,31,503,966
1400,31,501,968
1401,31,501,968
1402,31,501,968
1403,31,500,969
1404,31,497,972
1405,31,496,973
1406,30,494,976
1407,29,494,977
1408,29,494,977
1409,28,494,978
1410,28,492,980
1411,28,491,981
1412,28,490,982
1413,28,490,982
